Song Title,Start,End,Key,Composer,Year,Song with Key,Reference
500 Miles High,8,8,C,Chick Corea/Neville Potter,1978,500 Miles High (C),New-Bob-Book-C.pdf
After You’ve Gone,9,9,C,Henry S. Creamer/Turner Layton,1918,After You’ve Gone (C),New-Bob-Book-C.pdf
Afternoon in Paris,10,10,C,John Lewis,1955,Afternoon in Paris (C),New-Bob-Book-C.pdf
Again,11,11,C,Lionel Newman/Dorcas Cochran,1948,Again (C),New-Bob-Book-C.pdf
Agua De Beber,12,12,C,Antonio Carlos Jobim/Norman Gimbel/Vinicius De Moraes,1963,Agua De Beber (C),New-Bob-Book-C.pdf
Airegin,13,13,C,Sonny Rollins,1963,Airegin (C),New-Bob-Book-C.pdf
Alice in Wonderland,14,14,C,Sammy Fain/Bob Hilliard,1951,Alice in Wonderland (C),New-Bob-Book-C.pdf
All About Ronnie,15,15,C,Joe Greene,1951,All About Ronnie (C),New-Bob-Book-C.pdf
All My Tomorrows,16,16,C,James Van Heusen/Sammy Cahn,1059,All My Tomorrows (C),New-Bob-Book-C.pdf
All of Me,17,17,C,Seymour Simons/Gerald Marks,1951,All of Me (C),New-Bob-Book-C.pdf
All of You,18,18,C,Cole Porter,1954,All of You (C),New-Bob-Book-C.pdf
All or Nothing At All,19,19,C,Arthur Altman/Jack Lawrence,1959,All or Nothing At All (C),New-Bob-Book-C.pdf
All the Things You Are,20,20,C,Jerome Kern/Oscar Hammerstein,1959,All the Things You Are (C),New-Bob-Book-C.pdf
All the Way,21,21,C,James Van Heusen/Sammy Cahn,1929,All the Way (C),New-Bob-Book-C.pdf
Alone Together,22,22,C,Howard Deitz/Arthur Schwartz,1952,Alone Together (C),New-Bob-Book-C.pdf
Along Came Betty,23,23,C,Benny Golson,1957,Along Came Betty (C),New-Bob-Book-C.pdf
Always,24,24,C,Irving Berlin,1925,Always (C),New-Bob-Book-C.pdf
Am I Blue,25,25,C,Harry Akst/Grant Clarke,1929,Am I Blue (C),New-Bob-Book-C.pdf
Among My Souvenirs,26,26,C,Horatio Nicholis,1927,Among My Souvenirs (C),New-Bob-Book-C.pdf
And I Love Her,27,27,C,John Lennon/Paul McCartney,1964,And I Love Her (C),New-Bob-Book-C.pdf
Angel Eyes,28,28,C,Matt Dennis/Earl Brent,1946,Angel Eyes (C),New-Bob-Book-C.pdf
Angela,29,29,C,Antonio Carlos Jobim,,Angela (C),New-Bob-Book-C.pdf
Angela,30,30,C,Don Minasi,1984,Angela (C),New-Bob-Book-C.pdf
Anthropology,31,31,C,Charlie Parker,1946,Anthropology (C),New-Bob-Book-C.pdf
April In Paris,32,32,C,Edgar Yipsel Harburg/Vernon Duke,1952,April In Paris (C),New-Bob-Book-C.pdf
Armondo’s Rhumba,33,34,C,Chick Corea,1976,Armondo’s Rhumba (C),New-Bob-Book-C.pdf
As Long As I Live,35,35,C,Ted Koehler/Harold Arlen,1954,As Long As I Live (C),New-Bob-Book-C.pdf
As Time Goes By,36,36,C,Herman Upfield,1951,As Time Goes By (C),New-Bob-Book-C.pdf
Ask Me Now,37,37,C,Thelonious Monk,1978,Ask Me Now (C),New-Bob-Book-C.pdf
At Last,38,38,C,Harry Warren/Mack Gordon,1942,At Last (C),New-Bob-Book-C.pdf
Au Privave,39,39,C,Charlie Parker,1956,Au Privave (C),New-Bob-Book-C.pdf
Autumn in New York,40,40,C,Vernon Duke,1934,Autumn in New York (C),New-Bob-Book-C.pdf
Autumn Leaves,41,41,C,Joseph Kosma/Johnny Mercer,1947,Autumn Leaves (C),New-Bob-Book-C.pdf
Autumn Serenade,42,42,C,Sammy Galop/Peter De Rose,1945,Autumn Serenade (C),New-Bob-Book-C.pdf
Barbados,43,43,C,Charlie Parker,1948,Barbados (C),New-Bob-Book-C.pdf
Barbara,44,44,C,Horace Silver,1974,Barbara (C),New-Bob-Book-C.pdf
Be My Love,45,45,C,Sammy Cahn/Nicholas Brodszky,1950,Be My Love (C),New-Bob-Book-C.pdf
Beatrice,46,46,C,Sam Rivers,1965,Beatrice (C),New-Bob-Book-C.pdf
Beautiful Friendship,47,47,C,Donald Kahn/Stanley Styne,1956,Beautiful Friendship (C),New-Bob-Book-C.pdf
Beautiful Love,48,48,C,Victor Young/Haven Gillespie,1951,Beautiful Love (C),New-Bob-Book-C.pdf
Because of You,49,49,C,Art Hammerstein/Dudley Wilkinson,1951,Because of You (C),New-Bob-Book-C.pdf
Before You Go,50,50,C,George Benson,1979,Before You Go (C),New-Bob-Book-C.pdf
Bernie’s Tune,51,51,C,Bernie Miller,1953,Bernie’s Tune (C),New-Bob-Book-C.pdf
Beseme Mucho (Kiss Me Much),52,52,C,Consuelo Velazquez,1941,Beseme Mucho (Kiss Me Much) (C),New-Bob-Book-C.pdf
Bewitched,53,53,C,Richard Rodgers/Lorenz Hart,1941,Bewitched (C),New-Bob-Book-C.pdf
Beyond the Sea,54,54,C,Jack Lawrence/Charles Trenet,1945,Beyond the Sea (C),New-Bob-Book-C.pdf
The Big Hurt,55,55,C,Wayne Shanklin,1959,The Big Hurt (C),New-Bob-Book-C.pdf
Black and Blue,56,56,C,Fats Waller/Harry Brooks/Andy Razaf,1929,Black and Blue (C),New-Bob-Book-C.pdf
Black Coffee,57,57,C,Paul Francis Webster/Sonny Burke,1948,Black Coffee (C),New-Bob-Book-C.pdf
