Affirmation,newrbk1C.pdf,16,16
Airegin,newrbk1C.pdf,17,17
All Or Nothing At All,newrbk1C.pdf,444,445
Always There (Laws & Jeffrey),newrbk1C.pdf,18,19
Ana Maria,newrbk1C.pdf,20,21
Angel Eyes,newrbk1C.pdf,22,23
Anthropology,newrbk1C.pdf,24,24
Autumn Leaves,newrbk1C.pdf,25,25
Baby I Love You,newrbk1C.pdf,26,27
Basin Street Blues,newrbk1C.pdf,28,28
Beautiful Love,newrbk1C.pdf,29,29
Bernie's Tune,newrbk1C.pdf,30,30
Bird Food (Coleman),newrbk1C.pdf,31,31
Black Ice,newrbk1C.pdf,32,33
Black Narcissus,newrbk1C.pdf,34,35
Blizzard Of Lies,newrbk1C.pdf,36,37
Blue Bossa,newrbk1C.pdf,38,38
Blue Daniel,newrbk1C.pdf,39,39
Blues Connotation (Coleman),newrbk1C.pdf,40,40
Blues On The Corner,newrbk1C.pdf,41,41
Boogie Down,newrbk1C.pdf,44,48
Both Sides Of The Coin,newrbk1C.pdf,50,51
Bouncing With Bud,newrbk1C.pdf,52,53
Breakfast Wine,newrbk1C.pdf,54,55
Breakin' Away,newrbk1C.pdf,56,58
But Beautiful,newrbk1C.pdf,59,59
Chain Of Fools,newrbk1C.pdf,60,61
Change Of Mind (Mintzer),newrbk1C.pdf,62,63
Chega De Saudade (No More Blues),newrbk1C.pdf,64,65
Chelsea Bridge,newrbk1C.pdf,66,66
Come Sunday,newrbk1C.pdf,67,67
Compared To What,newrbk1C.pdf,68,69
Creek (Brasil),newrbk1C.pdf,71,71
Crystal Love (Ozone),newrbk1C.pdf,72,73
Cubano Chant,newrbk1C.pdf,74,75
Darn That Dream,newrbk1C.pdf,76,76
Dearly Beloved,newrbk1C.pdf,77,77
Delevans,newrbk1C.pdf,78,79
Desafinado,newrbk1C.pdf,80,81
Desire,newrbk1C.pdf,82,83
Dig,newrbk1C.pdf,85,85
Dindi,newrbk1C.pdf,86,87
Don't Go To Strangers,newrbk1C.pdf,89,89
Do Nothin' Till You Hear From Me,newrbk1C.pdf,446,446
Don't Get Around Much Anymore,newrbk1C.pdf,447,447
Doors (Nock),newrbk1C.pdf,90,90
Early Autumn,newrbk1C.pdf,91,91
Easy,newrbk1C.pdf,92,93
Eighty One,newrbk1C.pdf,94,95
Elm (Beirach),newrbk1C.pdf,96,97
Endangered Species (Shorter),newrbk1C.pdf,98,103
ESP,newrbk1C.pdf,105,105
Everything Happens To Me,newrbk1C.pdf,106,107
Fall,newrbk1C.pdf,108,108
Farmer's Market,newrbk1C.pdf,109,109
Favela,newrbk1C.pdf,110,110
Feel Like Makin' Love,newrbk1C.pdf,111,111
Fire,newrbk1C.pdf,112,112
First Light,newrbk1C.pdf,113,113
Foolkiller,newrbk1C.pdf,114,114
Footprints,newrbk1C.pdf,115,115
Four,newrbk1C.pdf,116,117
Four Brothers,newrbk1C.pdf,118,118
Four On Six,newrbk1C.pdf,119,119
Friends And Strangers,newrbk1C.pdf,120,121
Funkallero,newrbk1C.pdf,123,123
Gaviota (Fischer),newrbk1C.pdf,124,125
Gee Baby Ain't I Good To You,newrbk1C.pdf,127,127
Gemini,newrbk1C.pdf,128,132
Gloria's Step,newrbk1C.pdf,133,133
Goin' Home (Ferrante),newrbk1C.pdf,134,137
Gone With The Wind,newrbk1C.pdf,139,139
Good Morning Heartache,newrbk1C.pdf,448,448
The Goodbye Look,newrbk1C.pdf,140,143
Guaruja (Brecker),newrbk1C.pdf,144,145
Hallucinations,newrbk1C.pdf,146,147
Haunted Ballroom,newrbk1C.pdf,149,149
Havona,newrbk1C.pdf,150,151
Here's That Rainy Day,newrbk1C.pdf,153,153
Hideaway,newrbk1C.pdf,154,155
I Love Lucy,newrbk1C.pdf,157,157
I Mean You,newrbk1C.pdf,158,159
I Should Care,newrbk1C.pdf,160,160
I Thought About You,newrbk1C.pdf,161,161
If I Were A Bell,newrbk1C.pdf,162,163
If You Never Come To Me (Inutil Paisagem),newrbk1C.pdf,165,165
I'll Take Romance,newrbk1C.pdf,166,167
I'm All Smiles,newrbk1C.pdf,168,169
I'm Old Fashioned,newrbk1C.pdf,170,170
Imagination,newrbk1C.pdf,171,171
In Walked Bud,newrbk1C.pdf,173,173
Island (The),newrbk1C.pdf,174,175
It Happens Every Day,newrbk1C.pdf,176,177
Jersey Bounce,newrbk1C.pdf,179,179
Joshua,newrbk1C.pdf,180,181
Keep That Same Old Feeling,newrbk1C.pdf,182,183
Killing Me Softly With His Song,newrbk1C.pdf,185,185
La Samba (Obiedo),newrbk1C.pdf,186,187
La Vida Feliz,newrbk1C.pdf,188,191
Lady Bird,newrbk1C.pdf,192,193
Last First (Peacock),newrbk1C.pdf,194,195
Last Train From Overbrook,newrbk1C.pdf,196,196
Laurie,newrbk1C.pdf,197,197
Let Me Be The One,newrbk1C.pdf,198,199
Let's Go Dancin',newrbk1C.pdf,200,201
Like Someone In Love,newrbk1C.pdf,202,202
Line For Lyons,newrbk1C.pdf,203,203
Little Sunflower,newrbk1C.pdf,204,204
Little Tear (A),newrbk1C.pdf,205,205
Little Waltz,newrbk1C.pdf,206,206
Long Ago & Far Away,newrbk1C.pdf,207,207
Lover Came On Stealthy Fingers,newrbk1C.pdf,208,209
Love Dance,newrbk1C.pdf,210,211
Lush Life,newrbk1C.pdf,212,213
Madagascar,newrbk1C.pdf,214,215
Make Me A Memory (Sad Samba),newrbk1C.pdf,217,217
Matinee Idol (Ferrante),newrbk1C.pdf,218,219
Mercy Mercy Mercy,newrbk1C.pdf,220,221
Midnight Sun,newrbk1C.pdf,222,222
The Midnight Sun Will Never Set,newrbk1C.pdf,223,223
Misty,newrbk1C.pdf,449,449
Modadji,newrbk1C.pdf,224,225
Monk's Mood,newrbk1C.pdf,227,227
Monkey's Uncle (Foreman),newrbk1C.pdf,228,232
Moonlight In Vermont,newrbk1C.pdf,233,233
Mornin',newrbk1C.pdf,234,235
Morning Dance,newrbk1C.pdf,236,237
Mr. Clean (Irvine),newrbk1C.pdf,238,239
Mr. Gone,newrbk1C.pdf,240,241
My Attorney Bernie,newrbk1C.pdf,242,243
My Romance,newrbk1C.pdf,244,244
My Shining Hour,newrbk1C.pdf,245,245
Nature Boy,newrbk1C.pdf,246,246
Nefertiti,newrbk1C.pdf,247,247
Never Givin' Up,newrbk1C.pdf,248,250
Never Make Your Move Too Soon,newrbk1C.pdf,252,253
Nigerian Marketplace,newrbk1C.pdf,254,254
Nightlake (Beirach),newrbk1C.pdf,255,255
No Me Esqueca (Henderson),newrbk1C.pdf,256,257
Not Ethiopia,newrbk1C.pdf,258,259
Nothing Personal,newrbk1C.pdf,260,261
Off Minor,newrbk1C.pdf,262,263
Oleo,newrbk1C.pdf,264,264
Once I Loved (Amor Em Paz) (Love In Peace),newrbk1C.pdf,265,265
One Family,newrbk1C.pdf,266,267
One For My Baby (And One More For The Road),newrbk1C.pdf,268,269
Out Of This World,newrbk1C.pdf,270,271
Oz (Narell),newrbk1C.pdf,272,273
Papa Lips (Mintzer),newrbk1C.pdf,274,275
Partido Alto (Bertrami),newrbk1C.pdf,276,279
Pent Up House,newrbk1C.pdf,280,281
Plaza Real,newrbk1C.pdf,282,287
Polka Dots And Moonbeams,newrbk1C.pdf,288,289
Portrait Of Tracy,newrbk1C.pdf,290,291
Promenade (Zeitlin),newrbk1C.pdf,292,293
Put It Where You Want It,newrbk1C.pdf,294,295
P.Y.T. (Pretty Young Thing),newrbk1C.pdf,296,297
