title,reference,start,end
Ask Me Now,thelmnkcp.pdf,2,2
Ba-lue Bolivar Ba-lues-are,thelmnkcp.pdf,3,3
Bemsha Swing,thelmnkcp.pdf,4,4
Blue Hawk,thelmnkcp.pdf,5,5
Blue Monk,thelmnkcp.pdf,6,6
Blues Five Spot,thelmnkcp.pdf,7,7
Blue Sphere,thelmnkcp.pdf,8,8
Boo Boo's Birthday,thelmnkcp.pdf,9,9
Brake's Sake,thelmnkcp.pdf,10,10
Bright Mississippi,thelmnkcp.pdf,11,11
Brilliant Corners,thelmnkcp.pdf,12,12
Bye-Ya,thelmnkcp.pdf,13,13
Children's Song (That Old Man),thelmnkcp.pdf,14,14
Coming On The Hudson,thelmnkcp.pdf,15,15
Crepuscule With Nellie,thelmnkcp.pdf,16,17
Criss Cross (I),thelmnkcp.pdf,18,18
Criss Cross (II),thelmnkcp.pdf,19,19
Easy Street,thelmnkcp.pdf,20,20
Epistrophy,thelmnkcp.pdf,21,21
Eronel,thelmnkcp.pdf,22,22
Evidence,thelmnkcp.pdf,23,23
Four In One,thelmnkcp.pdf,24,24
Friday The 13th,thelmnkcp.pdf,25,25
Functional,thelmnkcp.pdf,26,26
Gallop's Gallop,thelmnkcp.pdf,27,27
Green Chimney's,thelmnkcp.pdf,28,28
Hackensack (I),thelmnkcp.pdf,29,29
Hackensack (II),thelmnkcp.pdf,30,30
Hornin' In,thelmnkcp.pdf,31,31
Humph,thelmnkcp.pdf,32,32
I Mean You,thelmnkcp.pdf,33,33
Introspection,thelmnkcp.pdf,34,34
In Walked Bud,thelmnkcp.pdf,35,35
Jackie-ing,thelmnkcp.pdf,36,36
Let's Call This,thelmnkcp.pdf,37,37
Let's Cool One,thelmnkcp.pdf,38,38
Light Blue,thelmnkcp.pdf,39,39
Little Rootie Tootie,thelmnkcp.pdf,40,40
Locomotive,thelmnkcp.pdf,41,41
Misterioso,thelmnkcp.pdf,42,42
Monk's Dream,thelmnkcp.pdf,43,43
Monk's Mood,thelmnkcp.pdf,44,44
Monk's Point,thelmnkcp.pdf,45,45
North Of The Sunset,thelmnkcp.pdf,46,46
Nutty,thelmnkcp.pdf,47,47
Off Minor,thelmnkcp.pdf,48,48
Oska T.,thelmnkcp.pdf,49,49
Pannonica,thelmnkcp.pdf,50,50
Played Twice,thelmnkcp.pdf,51,51
Raise Four,thelmnkcp.pdf,52,52
Reflections,thelmnkcp.pdf,53,53
Rhythm-a-ning,thelmnkcp.pdf,54,54
Round Midnight,thelmnkcp.pdf,55,55
Ruby My Dear,thelmnkcp.pdf,56,56
Shuffle Boil,thelmnkcp.pdf,57,57
Sixteen,thelmnkcp.pdf,58,58
Skippy,thelmnkcp.pdf,59,59
Something In Blue,thelmnkcp.pdf,60,60
Straight No Chaser,thelmnkcp.pdf,61,61
Stuffy Turkey,thelmnkcp.pdf,62,62
Teo,thelmnkcp.pdf,63,63
Thelonious,thelmnkcp.pdf,64,64
Think Of One,thelmnkcp.pdf,65,65
Trinkle-Tinkle,thelmnkcp.pdf,66,66
Ugly Beauty,thelmnkcp.pdf,67,67
Well You Needn't,thelmnkcp.pdf,68,68
We See (Manganese),thelmnkcp.pdf,69,69
Who Knows,thelmnkcp.pdf,70,70
Work,thelmnkcp.pdf,71,71
Worry Later (San Francisco Holiday),thelmnkcp.pdf,72,72
Carolina Moon,thelmnkcp.pdf,73,73
